in s,C1 in V
-3.9196008E+00,5.36988E-01
-3.9192333E+00,5.25270E-01
-3.9188658E+00,5.09645E-01
-3.9184982E+00,5.04762E-01
-3.9181307E+00,5.07691E-01
-3.9177632E+00,5.16480E-01
-3.9173957E+00,5.29176E-01
-3.9170282E+00,5.39918E-01
-3.9166606E+00,5.41871E-01
-3.9162931E+00,5.39918E-01
-3.9159256E+00,5.23316E-01
-3.9155581E+00,5.10621E-01
-3.9151906E+00,5.01832E-01
-3.9148230E+00,5.13551E-01
-3.9144555E+00,5.22340E-01
-3.9140880E+00,5.37965E-01
-3.9137205E+00,5.42848E-01
-3.9133530E+00,5.44801E-01
-3.9129854E+00,5.36988E-01
-3.9126179E+00,5.16480E-01
-3.9122504E+00,5.07691E-01
-3.9118829E+00,5.02809E-01
-3.9115154E+00,5.13551E-01
-3.9111478E+00,5.27223E-01
-3.9107803E+00,5.33082E-01
-3.9104128E+00,5.41871E-01
-3.9100453E+00,5.36988E-01
-3.9096778E+00,5.22340E-01
-3.9093102E+00,5.09645E-01
-3.9089427E+00,5.04762E-01
-3.9085752E+00,5.08668E-01
-3.9082077E+00,5.18434E-01
-3.9078402E+00,5.32105E-01
-3.9074726E+00,5.39918E-01
-3.9071051E+00,5.44801E-01
-3.9067376E+00,5.38941E-01
-3.9063701E+00,5.21363E-01
-3.9060026E+00,5.09645E-01
-3.9056350E+00,5.09645E-01
-3.9052675E+00,5.13551E-01
-3.9049000E+00,5.25270E-01
-3.9045325E+00,5.37965E-01
-3.9041650E+00,5.45777E-01
-3.9037974E+00,5.42848E-01
-3.9034299E+00,5.29176E-01
-3.9030624E+00,5.15504E-01
-3.9026949E+00,5.05738E-01
-3.9023274E+00,5.02809E-01
-3.9019598E+00,5.11598E-01
-3.9015923E+00,5.26246E-01
-3.9012248E+00,5.35035E-01
-3.9008573E+00,5.42848E-01
-3.9004898E+00,5.33082E-01
-3.9001222E+00,5.20387E-01
-3.8997547E+00,5.06715E-01
-3.8993872E+00,4.98902E-01
-3.8990197E+00,5.08668E-01
-3.8986522E+00,5.20387E-01
-3.8982846E+00,5.34059E-01
-3.8979171E+00,5.45777E-01
-3.8975496E+00,5.42848E-01
-3.8971821E+00,5.33082E-01
-3.8968146E+00,5.21363E-01
-3.8964470E+00,5.07691E-01
-3.8960795E+00,5.08668E-01
-3.8957120E+00,5.14527E-01
-3.8953445E+00,5.25270E-01
-3.8949770E+00,5.39918E-01
-3.8946094E+00,5.48707E-01
-3.8942419E+00,5.42848E-01
-3.8938744E+00,5.32105E-01
-3.8935069E+00,5.16480E-01
-3.8931394E+00,5.02809E-01
-3.8927718E+00,5.04762E-01
-3.8924043E+00,5.15504E-01
-3.8920368E+00,5.27223E-01
-3.8916693E+00,5.37965E-01
-3.8913018E+00,5.40895E-01
-3.8909342E+00,5.34059E-01
-3.8905667E+00,5.18434E-01
-3.8901992E+00,5.05738E-01
-3.8898317E+00,5.02809E-01
-3.8894642E+00,5.09645E-01
-3.8890966E+00,5.18434E-01
-3.8887291E+00,5.36012E-01
-3.8883616E+00,5.40895E-01
-3.8879941E+00,5.47730E-01
-3.8876266E+00,5.34059E-01
-3.8872590E+00,5.19410E-01
-3.8868915E+00,5.08668E-01
-3.8865240E+00,5.08668E-01
-3.8861565E+00,5.16480E-01
-3.8857890E+00,5.29176E-01
