,Magnitude (Step of 0.001),N(m)
667,9.434024743,2
668,9.435024743,2
669,9.436024743,2
670,9.437024743,2
671,9.438024743,2
672,9.439024743,2
673,9.440024743,2
674,9.441024743,2
675,9.442024743,2
676,9.443024743,2
677,9.444024743,2
678,9.445024743,2
679,9.446024743,2
680,9.447024743,2
681,9.448024743,2
682,9.449024743,2
683,9.450024743,2
684,9.451024743,2
685,9.452024743,2
686,9.453024743,2
687,9.454024743,2
688,9.455024743,2
689,9.456024743,2
690,9.457024743,2
691,9.458024743,2
692,9.459024743,2
693,9.460024743,2
694,9.461024743,2
695,9.462024743,2
696,9.463024743,2
697,9.464024743,3
698,9.465024743,3
699,9.466024743,3
700,9.467024743,3
701,9.468024743,3
702,9.469024743,3
703,9.470024743,3
704,9.471024743,3
705,9.472024743,3
706,9.473024743,3
707,9.474024743,3
708,9.475024743,3
709,9.476024743,3
710,9.477024743,3
711,9.478024743,3
712,9.479024743,3
713,9.480024743,3
714,9.481024743,3
715,9.482024743,3
716,9.483024743,3
717,9.484024743,3
718,9.485024743,3
719,9.486024743,3
720,9.487024743,3
721,9.488024743,3
722,9.489024743,3
723,9.490024743,3
724,9.491024743,3
725,9.492024743,3
726,9.493024743,3
727,9.494024743,3
728,9.495024743,3
729,9.496024743,3
730,9.497024743,3
731,9.498024743,3
732,9.499024743,3
733,9.500024743,3
734,9.501024743,3
735,9.502024743,3
736,9.503024743,3
737,9.504024743,3
738,9.505024743,3
739,9.506024743,3
740,9.507024743,3
741,9.508024743,3
742,9.509024743,3
743,9.510024743,3
744,9.511024743,3
745,9.512024743,3
746,9.513024743,3
747,9.514024743,3
748,9.515024743,3
749,9.516024743,3
750,9.517024743,3
751,9.518024743,3
752,9.519024743,3
753,9.520024743,3
754,9.521024743,3
755,9.522024743,3
756,9.523024743,3
757,9.524024743,3
758,9.525024743,3
759,9.526024743,3
760,9.527024743,3
761,9.528024743,3
762,9.529024743,3
763,9.530024743,3
764,9.531024743,3
765,9.532024743,3
766,9.533024743,3
767,9.534024743,3
768,9.535024743,3
769,9.536024743,3
770,9.537024743,3
771,9.538024743,3
772,9.539024743,3
773,9.540024743,3
774,9.541024743,3
775,9.542024743,3
776,9.543024743,3
777,9.544024743,3
778,9.545024743,3
779,9.546024743,3
780,9.547024743,3
781,9.548024743,3
782,9.549024743,3
783,9.550024743,3
784,9.551024743,3
785,9.552024743,3
786,9.553024743,3
787,9.554024743,3
788,9.555024743,3
789,9.556024743,3
790,9.557024743,3
791,9.558024743,3
792,9.559024743,3
793,9.560024743,3
794,9.561024743,3
795,9.562024743,3
796,9.563024743,3
797,9.564024743,3
798,9.565024743,3
799,9.566024743,3
800,9.567024743,3
801,9.568024743,3
802,9.569024743,3
803,9.570024743,3
804,9.571024743,3
805,9.572024743,3
806,9.573024743,3
807,9.574024743,3
808,9.575024743,3
809,9.576024743,3
810,9.577024743,3
811,9.578024743,3
812,9.579024743,3
813,9.580024743,3
814,9.581024743,3
815,9.582024743,3
816,9.583024743,3
817,9.584024743,3
818,9.585024743,3
819,9.586024743,3
820,9.587024743,3
821,9.588024743,3
822,9.589024743,3
823,9.590024743,3
824,9.591024743,3
825,9.592024743,3
826,9.593024743,3
827,9.594024743,3
828,9.595024743,3
829,9.596024743,3
830,9.597024743,3
831,9.598024743,3
832,9.599024743,3
833,9.600024743,3
834,9.601024743,3
835,9.602024743,3
836,9.603024743,3
837,9.604024743,3
838,9.605024743,3
839,9.606024743,3
840,9.607024743,3
841,9.608024743,3
842,9.609024743,3
843,9.610024743,3
844,9.611024743,3
845,9.612024743,3
